Price,Type,Method,CouncilArea,Rooms,Distance,Bathroom,Car,Lattitude,Longtitude,year,month,day
1480000,h,S,Yarra City Council,2,2.5,1,1,-37.7996,144.9984,2016,12,3
1035000,h,S,Yarra City Council,2,2.5,1,0,-37.8079,144.9934,2016,2,4
1465000,h,SP,Yarra City Council,3,2.5,2,0,-37.8093,144.9944,2017,3,4
850000,h,PI,Yarra City Council,3,2.5,2,1,-37.7969,144.9969,2017,3,4
1600000,h,VB,Yarra City Council,4,2.5,1,2,-37.8072,144.9941,2016,6,4
941000,h,S,Yarra City Council,2,2.5,1,0,-37.8041,144.9953,2016,5,7
1876000,h,S,Yarra City Council,3,2.5,2,0,-37.8024,144.9993,2016,5,7
1636000,h,S,Yarra City Council,2,2.5,1,2,-37.806,144.9954,2016,10,8
300000,u,S,Yarra City Council,1,2.5,1,1,-37.8008,144.9973,2016,10,8
1097000,h,S,Yarra City Council,2,2.5,1,2,-37.801,144.9989,2016,10,8
700000,u,VB,Yarra City Council,2,2.5,2,1,-37.811,145.0067,2016,11,12
1350000,h,VB,Yarra City Council,3,2.5,2,2,-37.8085,144.9964,2016,11,12
750000,u,S,Yarra City Council,2,2.5,2,1,-37.8078,144.9965,2016,11,12
1985000,h,S,Yarra City Council,4,2.5,2,0,-37.8084,144.9942,2016,11,12
1172500,h,S,Yarra City Council,2,2.5,1,1,-37.8084,144.9973,2016,8,13
441000,u,SP,Yarra City Council,1,2.5,1,1,-37.8016,144.9988,2016,5,14
1310000,h,S,Yarra City Council,2,2.5,1,2,-37.809,144.9976,2016,10,15
1200000,h,S,Yarra City Council,3,2.5,2,1,-37.8056,144.993,2016,7,16
1176500,h,S,Yarra City Council,3,2.5,1,1,-37.8021,144.9965,2016,7,16
955000,h,S,Yarra City Council,3,2.5,1,0,-37.8022,144.9975,2016,9,17
890000,h,S,Yarra City Council,2,2.5,1,1,-37.8011,145.0004,2016,9,17
1330000,h,PI,Yarra City Council,4,2.5,2,2,-37.8073,144.9952,2017,3,18
900000,t,S,Yarra City Council,3,2.5,2,2,-37.8093,144.9959,2017,3,18
1090000,u,S,Yarra City Council,3,2.5,2,2,-37.8078,144.9965,2017,3,18
500000,u,S,Yarra City Council,2,2.5,1,1,-37.8015,144.9972,2016,6,18
1100000,h,PI,Yarra City Council,2,2.5,2,1,-37.8079,144.9977,2016,6,18
1315000,h,S,Yarra City Council,2,2.5,1,0,-37.808,144.994,2016,11,19
426000,u,SP,Yarra City Council,1,2.5,1,1,-37.8016,144.9988,2016,8,22
1447500,h,PI,Yarra City Council,3,2.5,3,1,-37.8017,145.0001,2016,8,22
457000,u,S,Yarra City Council,1,2.5,1,1,-37.8078,144.9965,2016,8,22
1135000,h,S,Yarra City Council,2,2.5,2,2,-37.8005,144.9952,2016,8,22
1542000,h,S,Yarra City Council,4,2.5,3,1,-37.7994,144.9965,2016,9,24
962000,t,SP,Yarra City Council,3,2.5,2,0,-37.7972,144.9969,2017,2,25
1290000,h,S,Yarra City Council,3,2.5,2,2,-37.805,144.9943,2017,2,25
1290000,h,S,Yarra City Council,3,2.5,1,1,-37.8007,144.9958,2017,2,25
470000,u,S,Yarra City Council,1,2.5,1,1,-37.8055,144.9961,2016,7,26
1180000,h,S,Yarra City Council,2,2.5,1,0,-37.8016,144.9956,2016,11,27
1195000,h,SP,Yarra City Council,3,2.5,2,1,-37.8022,144.9954,2016,11,27
1012500,h,S,Yarra City Council,2,2.5,1,0,-37.8021,144.9976,2016,5,28
1030000,h,S,Yarra City Council,2,2.5,1,1,-37.8086,144.9946,2016,7,30
840000,t,PI,Moonee Valley City Council,3,13.5,2,1,-37.718,144.878,2016,9,3
730000,h,VB,Moonee Valley City Council,3,13.5,2,1,-37.7203,144.8755,2016,12,3
770000,h,SP,Moonee Valley City Council,3,13.5,2,1,-37.7203,144.8755,2017,3,4
603000,h,S,Moonee Valley City Council,2,13.5,1,1,-37.7294,144.888,2017,3,4
700000,t,S,Moonee Valley City Council,3,13.5,2,2,-37.7218,144.8837,2017,3,4
600000,h,S,Moonee Valley City Council,3,13.5,1,1,-37.7273,144.8744,2017,3,4
500000,u,VB,Moonee Valley City Council,2,13.5,1,1,-37.7215,144.8864,2017,3,4
720000,h,S,Moonee Valley City Council,3,13.5,1,1,-37.7173,144.8872,2016,8,6
785000,h,S,Moonee Valley City Council,4,13.5,1,2,-37.7259,144.8792,2016,8,6
725000,h,SP,Moonee Valley City Council,6,13.5,3,2,-37.7239,144.8735,2016,5,7
450000,t,S,Moonee Valley City Council,2,13.5,1,1,-37.7216,144.871,2016,5,7
515000,u,S,Moonee Valley City Council,2,13.5,1,1,-37.7298,144.8883,2016,11,7
530000,u,S,Moonee Valley City Council,2,13.5,1,1,-37.7234,144.8792,2016,9,10
895000,h,PI,Moonee Valley City Council,3,13.5,1,6,-37.7249,144.8728,2016,9,10
805000,h,S,Moonee Valley City Council,3,13.5,1,1,-37.7217,144.8783,2016,12,10
752000,u,S,Moonee Valley City Council,3,13.5,1,1,-37.7302,144.8855,2017,2,11
440000,u,S,Moonee Valley City Council,2,13.5,1,1,-37.7177,144.8787,2016,8,13
755000,h,PI,Moonee Valley City Council,5,13.5,2,2,-37.7248,144.8699,2016,5,14
700000,t,PI,Moonee Valley City Council,3,13.5,2,2,-37.727,144.887,2016,10,15
830000,h,S,Moonee Valley City Council,3,13.5,1,2,-37.7186,144.876,2016,4,16
462500,u,S,Moonee Valley City Council,2,13.5,1,1,-37.7218,144.8863,2016,7,16
670000,h,SP,Moonee Valley City Council,3,13.5,2,2,-37.7269,144.8742,2016,7,16
675000,h,S,Moonee Valley City Council,2,13.5,1,1,-37.7187,144.8765,2016,7,16
1042000,h,S,Moonee Valley City Council,3,13.5,2,5,-37.7173,144.8796,2016,7,16
910000,h,S,Moonee Valley City Council,3,13.5,1,1,-37.7231,144.8835,2016,9,17
773000,h,S,Moonee Valley City Council,4,13.5,3,4,-37.7263,144.8679,2016,9,17
810000,h,PI,Moonee Valley City Council,3,13.5,3,2,-37.7285,144.8694,2017,3,18
715000,h,S,Moonee Valley City Council,3,13.5,2,2,-37.7164,144.8792,2017,3,18
790000,h,S,Moonee Valley City Council,3,13.5,1,3,-37.7194,144.8827,2017,3,18
540000,t,SP,Moonee Valley City Council,3,13.5,2,1,-37.7231,144.8802,2016,6,18
825000,t,SP,Moonee Valley City Council,3,13.5,2,1,-37.72,144.8776,2016,11,19
685000,h,S,Moonee Valley City Council,3,13.5,1,1,-37.7226,144.8733,2016,5,22
805000,h,S,Moonee Valley City Council,3,13.5,1,1,-37.7184,144.882,2016,8,22
510000,u,S,Moonee Valley City Council,2,13.5,1,1,-37.7202,144.8797,2016,8,22
612000,h,S,Moonee Valley City Council,3,13.5,2,1,-37.7181,144.8824,2016,8,22
662000,h,S,Moonee Valley City Council,3,13.5,1,2,-37.7169,144.8815,2016,4,23
978000,h,S,Moonee Valley City Council,4,13.5,3,2,-37.7263,144.869,2016,9,24
720000,h,PI,Moonee Valley City Council,3,13.5,1,1,-37.72,144.878,2017,2,25
765000,h,S,Moonee Valley City Council,4,13.5,1,2,-37.7261,144.8785,2016,11,27
900000,h,S,Moonee Valley City Council,4,13.5,2,3,-37.7256,144.8739,2016,11,27
1275000,h,S,Port Phillip City Council,2,3.3,1,0,-37.8459,144.9555,2016,9,3
1455000,h,S,Port Phillip City Council,2,3.3,1,0,-37.845,144.9538,2016,9,3
2850000,h,PI,Port Phillip City Council,3,3.3,2,0,-37.8481,144.9499,2017,3,4
1850000,h,S,Port Phillip City Council,3,3.3,2,0,-37.8452,144.9488,2017,3,4
1436000,h,S,Port Phillip City Council,2,3.3,1,0,-37.8431,144.9565,2017,3,4
1110000,h,S,Port Phillip City Council,2,3.3,1,0,-37.8444,144.9484,2016,8,6
1550000,h,S,Port Phillip City Council,2,3.3,1,1,-37.8405,144.9521,2016,5,7
2300000,h,S,Port Phillip City Council,4,3.3,2,1,-37.8447,144.9523,2016,5,7
1550000,t,VB,Port Phillip City Council,3,3.3,2,2,-37.8443,144.9598,2016,11,7
1800000,h,VB,Port Phillip City Council,3,3.3,2,1,-37.8415,144.952,2016,11,7
2120000,h,S,Port Phillip City Council,2,3.3,1,1,-37.8422,144.9554,2016,9,10
1800000,h,VB,Port Phillip City Council,3,3.3,1,1,-37.8443,144.9579,2016,9,10
1800000,h,S,Port Phillip City Council,3,3.3,2,1,-37.8421,144.9571,2016,9,10
1810000,h,PI,Port Phillip City Council,2,3.3,1,0,-37.8379,144.9539,2016,12,10
2615000,h,S,Port Phillip City Council,3,3.3,2,1,-37.8415,144.9585,2016,12,10
2100000,h,S,Port Phillip City Council,5,3.3,2,1,-37.8436,144.9557,2016,12,10
1300000,h,S,Port Phillip City Council,3,3.3,1,0,-37.8422,144.949,2016,12,10
1370000,h,S,Port Phillip City Council,3,3.3,2,2,-37.8451,144.9511,2016,6,12
1000000,h,S,Port Phillip City Council,2,3.3,1,0,-37.8407,144.9523,2016,11,12
2575000,h,S,Port Phillip City Council,3,3.3,2,1,-37.8445,144.9501,2016,10,15
1322500,h,S,Port Phillip City Council,2,3.3,1,0,-37.8443,144.9481,2016,10,15
1562500,h,S,Port Phillip City Council,2,3.3,1,0,-37.8424,144.9562,2016,10,15
2000000,h,VB,Port Phillip City Council,3,3.3,2,1,-37.847,144.9575,2016,4,16
1900000,h,S,Port Phillip City Council,3,3.3,1,0,-37.8468,144.9546,2017,3,18
3010000,h,S,Port Phillip City Council,3,3.3,2,0,-37.8473,144.9551,2017,3,18
2800000,h,VB,Port Phillip City Council,4,3.3,3,1,-37.8467,144.9475,2016,6,18
647000,u,S,Port Phillip City Council,2,3.3,1,1,-37.846,144.9542,2016,5,22
2100000,h,SP,Port Phillip City Council,3,3.3,1,1,-37.8427,144.9546,2016,4,23
2000000,h,PI,Port Phillip City Council,3,3.3,1,1,-37.8461,144.9528,2016,9,24
442500,u,S,Port Phillip City Council,1,3.3,1,0,-37.8421,144.9517,2017,2,25
4735000,h,S,Port Phillip City Council,4,3.3,2,1,-37.8477,144.9558,2017,2,25
1340000,h,S,Port Phillip City Council,2,3.3,1,0,-37.846,144.9517,2017,2,25
1801000,h,S,Port Phillip City Council,3,3.3,1,1,-37.8429,144.9493,2017,2,25
1532000,h,S,Port Phillip City Council,3,3.3,3,1,-37.8415,144.9585,2016,7,26
3755000,h,S,Port Phillip City Council,3,3.3,2,2,-37.8413,144.95,2016,7,26
2140000,h,S,Port Phillip City Council,4,3.3,2,1,-37.8434,144.9495,2016,6,27
1750000,h,S,Port Phillip City Council,2,3.3,1,1,-37.8416,144.9488,2016,11,27
980000,h,S,Port Phillip City Council,2,3.3,1,0,-37.8387,144.9519,2016,5,28
2030000,h,S,Port Phillip City Council,3,3.3,2,0,-37.8488,144.9551,2016,8,28
1740000,h,PI,Port Phillip City Council,3,3.3,2,2,-37.8448,144.9453,2016,8,28
2800000,h,VB,Port Phillip City Council,3,3.3,3,1,-37.8399,144.9577,2016,7,30
985000,h,S,Port Phillip City Council,1,3.3,1,0,-37.8411,144.9497,2016,7,30
2000000,h,S,Darebin City Council,4,6.4,2,4,-37.7707,145.0318,2016,9,3
1110000,h,S,Darebin City Council,3,6.4,2,2,-37.7854,145.0325,2016,9,3
1492000,h,S,Darebin City Council,3,6.4,2,2,-37.7713,145.0279,2017,3,4
1717500,h,S,Darebin City Council,4,6.4,2,1,-37.7717,145.031,2016,10,8
2840000,h,S,Darebin City Council,5,6.4,4,4,-37.775,145.0268,2016,6,12
525500,u,S,Darebin City Council,2,6.4,1,1,-37.7791,145.0306,2016,11,12
805000,t,S,Darebin City Council,2,6.4,2,3,-37.7804,145.0308,2016,11,12
465000,u,S,Darebin City Council,2,6.4,1,1,-37.7773,145.0314,2016,11,12
2000000,h,PI,Darebin City Council,3,6.4,3,2,-37.78,145.0341,2016,10,15
1540000,h,S,Darebin City Council,3,6.4,1,2,-37.7755,145.0288,2016,4,16
820000,u,S,Darebin City Council,2,6.4,1,1,-37.7747,145.0264,2017,3,18
1830000,h,S,Darebin City Council,4,6.4,2,2,-37.7743,145.0316,2016,11,19
2100000,h,S,Darebin City Council,4,6.4,2,2,-37.7723,145.0319,2016,11,19
